Year,Series,Series Label,Economy,Economy Label,Flow,Flow Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Percentage of imports,Percentage of imports Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Normalized trade balance,Normalized trade balance Footnote
2017,3503,"Balance of payments: Current account - BPM6",3360,"UNECE: Eastern Europe, Caucasus and Central Asia",14,"Balance",114412.366,,28.79008,,5.43422,,0.1258,
2017,3503,"Balance of payments: Current account - BPM6",3361,"UNECE: West Balkans",14,"Balance",-25759.742,,-38.95858,,-16.73202,,-0.2419,
2017,3503,"Balance of payments: Current account - BPM6",3370,"ESCWA (Economic and Social Commission for Western Asia)",14,"Balance",176184.433,,25.80259,,8.07255,,0.1143,
2017,3503,"Balance of payments: Current account - BPM6",3371,"ESCWA: Arab countries",14,"Balance",156564.148,,21.02156,,6.31497,,0.0951,
2017,3503,"Balance of payments: Current account - BPM6",340,"Honduras",14,"Balance",-4316.597,,-49.12683,,-18.68593,,-0.3256,
2017,3503,"Balance of payments: Current account - BPM6",3401,"EFTA (European Free Trade Association)",14,"Balance",72621.466,,20.57225,,6.54607,,0.0933,
2017,3503,"Balance of payments: Current account - BPM6",3402,"EU25 (European Union 2004 … 2007)",14,"Balance",299891.493,,5.74174,,1.75581,,0.0279,
2017,3503,"Balance of payments: Current account - BPM6",3404,"EU15 (European Union 1995 … 2004)",14,"Balance",295684.787,,6.44798,,1.85828,,0.0312,
2017,3503,"Balance of payments: Current account - BPM6",3406,"Euro area",14,"Balance",432515.612,,11.07014,,3.41642,,0.0524,
2017,3503,"Balance of payments: Current account - BPM6",3408,"EU27 (European Union 2007 … 2013)",14,"Balance",285240.658,,5.34892,,1.64399,,0.026,
2017,3503,"Balance of payments: Current account - BPM6",3410,"EU28 (European Union 2013 … 2020)",14,"Balance",275685.663,,5.14779,,1.58387,,0.0251,
2017,3503,"Balance of payments: Current account - BPM6",3411,"CEFTA (Central European Free Trade Agreement)",14,"Balance",-18758.496,,-39.23597,,-17.32004,,-0.2441,
2017,3503,"Balance of payments: Current account - BPM6",3412,"European Union (2020 …)",14,"Balance",450755.179,,9.49899,,3.05811,,0.0453,
2017,3503,"Balance of payments: Current account - BPM6",344,"China, Hong Kong SAR",14,"Balance",-22927.264,,-4.06954,,-6.71006,,-0.0208,
2017,3503,"Balance of payments: Current account - BPM6",348,"Hungary",14,"Balance",2159.499,,2.28489,,1.52603,,0.0113,
2017,3503,"Balance of payments: Current account - BPM6",3501,"MSG (Melanesian Spearhead Group)",14,"Balance",5472.624,,92.42279,,18.59015,,0.3161,
2017,3503,"Balance of payments: Current account - BPM6",352,"Iceland",14,"Balance",-1540.739,,-23.67828,,-6.29052,,-0.1343,
2017,3503,"Balance of payments: Current account - BPM6",356,"India",14,"Balance",-147888.8,,-32.71486,,-5.63366,,-0.1956,
2017,3503,"Balance of payments: Current account - BPM6",360,"Indonesia",14,"Balance",18813.9,,12.53687,,1.85281,,0.059,
2017,3503,"Balance of payments: Current account - BPM6",3601,"Northern America and Europe",14,"Balance",-389278.652,,-4.38383,,-0.9336,,-0.0224,
2017,3503,"Balance of payments: Current account - BPM6",3602,"Central and Southern Asia",14,"Balance",-180404.879,,-24.96707,,-4.44794,,-0.1426,
2017,3503,"Balance of payments: Current account - BPM6",3603,"Eastern and South-Eastern Asia",14,"Balance",823028.243,,16.97602,,3.67045,,0.0782,
2017,3503,"Balance of payments: Current account - BPM6",3604,"Western Asia and Northern Africa",14,"Balance",89421.595,,8.48263,,2.39004,,0.0407,
2017,3503,"Balance of payments: Current account - BPM6",364,"Iran (Islamic Republic of)",14,"Balance",22596,,29.91025,,4.90177,,0.1301,
2017,3503,"Balance of payments: Current account - BPM6",368,"Iraq",14,"Balance",25373.5,,78.83494,,13.30937,,0.2827,
2017,3503,"Balance of payments: Current account - BPM6",372,"Ireland",14,"Balance",123005.45,,123.01338,,36.64551,,0.3808,
2017,3503,"Balance of payments: Current account - BPM6",376,"Israel",14,"Balance",-11372.6,,-16.59122,,-3.21939,,-0.0905,
2017,3503,"Balance of payments: Current account - BPM6",380,"Italy",14,"Balance",61423.025,,14.29702,,3.13094,,0.0667,
2017,3503,"Balance of payments: Current account - BPM6",384,"Côte d'Ivoire",14,"Balance",2529.214,,29.72699,,6.63003,,0.1294,
2017,3503,"Balance of payments: Current account - BPM6",388,"Jamaica",14,"Balance",-3553.552,,-72.45742,,-24.00021,,-0.5681,
2017,3503,"Balance of payments: Current account - BPM6",3901,"APEC (Asia-Pacific Economic Cooperation)",14,"Balance",162386.277,,1.88561,,0.33564,,0.0093,
2017,3503,"Balance of payments: Current account - BPM6",3903,"CIS (Commonwealth of Independent States)",14,"Balance",124328.913,,36.92793,,6.41182,,0.1559,
2017,3503,"Balance of payments: Current account - BPM6",3905,"OECD (Organisation for Economic Cooperation and Development)",14,"Balance",-345276.856,,-3.28466,,-0.68815,,-0.0167,
2017,3503,"Balance of payments: Current account - BPM6",3906,"OPEC (Organization of the Petroleum Exporting Countries)",14,"Balance",295839.807,,45.27522,,10.13637,,0.1846,
2017,3503,"Balance of payments: Current account - BPM6",3907,"ACP (African, Caribbean and Pacific Group of States)",14,"Balance",-20932.933,,-5.64038,,-1.05894,,-0.029,
2017,3503,"Balance of payments: Current account - BPM6",3908,"LAS (League of Arab States)",14,"Balance",156564.148,,21.02156,,6.31497,,0.0951,
2017,3503,"Balance of payments: Current account - BPM6",3909,"OIC (Organisation of Islamic Cooperation)",14,"Balance",149863.598,,9.23285,,2.25003,,0.0441,
2017,3503,"Balance of payments: Current account - BPM6",3910,"OAS (Organization of American States)",14,"Balance",-793547.893,,-21.0322,,-2.94714,,-0.1175,
2017,3503,"Balance of payments: Current account - BPM6",3912,"G7 (Group of Seven)",14,"Balance",-653216.939,,-10.48889,,-1.76417,,-0.0553,
2017,3503,"Balance of payments: Current account - BPM6",3913,"G8 (Group of Eight)",14,"Balance",-538498.439,,-8.32804,,-1.39478,,-0.0434,
2017,3503,"Balance of payments: Current account - BPM6",3916,"G20 (Group of Twenty)",14,"Balance",179554.623,,1.36642,,0.25765,,0.0068,
2017,3503,"Balance of payments: Current account - BPM6",3919,"G-77 (Group of 77)",14,"Balance",630090.999,,12.1273,,2.29935,,0.0572,
2017,3503,"Balance of payments: Current account - BPM6",392,"Japan",14,"Balance",43779.4,,6.78899,,0.90082,,0.0328,
2017,3503,"Balance of payments: Current account - BPM6",3921,"GSTP (Global System of Trade Preferences among Developing Countries)",14,"Balance",129138.534,,3.79947,,0.87227,,0.0186,
